recording_id,outer_fold,model,alpha,inner_fold,mean_r2,n_validation_samples,selected
GROUP,2,M1_mel,10.0,1,0.33102526154413503,32130,False
GROUP,2,M1_mel,10.0,2,0.23747447414512346,42840,False
GROUP,2,M1_mel,10.0,3,0.3788245393675237,41650,False
GROUP,2,M1_mel,10.0,mean,0.3333124107842917,159460,False
GROUP,2,M1_mel,100.0,0,0.3867656561202103,42840,False
GROUP,2,M1_mel,100.0,1,0.33128432944767483,32130,False
GROUP,2,M1_mel,100.0,2,0.23769494605579145,42840,False
GROUP,2,M1_mel,100.0,3,0.3789837724172137,41650,False
GROUP,2,M1_mel,100.0,mean,0.333505153791237,159460,False
GROUP,2,M1_mel,1000.0,0,0.38768781388379325,42840,False
